date,demand_mw,previous_load_shed,load_shed_3day_avg,load_shed_7day_avg,previous_demand,demand_3day_avg,demand_change,day_of_week,month,day_of_month,is_weekend,actual_next_day_risk,predicted_probability
2025-05-17,1.0252506,-0.27957034,-0.06671918,-0.29967055,-0.38070562,0.018252585,0.3753657,-0.24697174,-0.30548084,-0.27703854,0.04168121,0,0.15597267
2025-05-18,1.0675498,-0.2969465,-0.034477945,-0.09329944,0.6837543,0.26715416,0.07206116,0.4992858,0.07837413,-0.44168043,0.03950436,0,0.6337601
2025-05-19,-0.21604545,-0.15664458,-0.023011377,-0.21944894,0.41532415,-0.29580048,0.28321177,0.2487333,-0.15950535,-0.40688825,-0.04043108,0,0.13430688
2025-05-20,-0.21382591,-0.15487902,0.017503656,-0.24328917,-0.28161672,-0.29506087,-0.43676615,0.006247527,-0.11833623,-0.29240948,-0.061936986,0,0.033334244
2025-05-21,0.13615711,-0.2229286,-0.0477756,-0.2507686,-0.2660507,0.11354527,-0.017961366,-0.06836913,-0.12888923,-0.3145517,-0.048848428,0,0.08246334
2025-05-22,-0.60361516,-0.21485686,-0.04096457,-0.25120082,-0.059943948,-0.044675045,-0.0051075574,-0.47009462,-0.36308944,-0.5041687,-0.027415946,0,0.020272082
2025-05-23,0.55297303,-0.24922211,-0.083482064,-0.25855425,-0.11533157,-0.026283504,-0.17547216,-0.47730875,-0.1577565,-0.5064455,-0.025909929,0,0.05648216
2025-05-24,0.82181937,-0.20801409,-0.09404258,-0.1563138,0.20281598,-0.10795208,0.26918527,-0.32565638,-0.1630737,-0.33893648,0.053020615,1,0.20750277
2025-05-25,-0.3509558,-0.16786993,0.010899944,-0.41205317,0.33121386,0.54430306,-0.35910943,0.32281402,0.0052427794,-0.25252885,0.0660149,1,0.17437601
2025-05-26,1.277905,0.20515642,0.28435537,0.24427697,-0.07287809,0.7247684,0.5197905,0.21232115,-0.40491426,-0.3728902,-0.0019588545,1,0.7896863
2025-05-27,1.1690547,0.352537,-0.061427943,0.1911209,0.5437357,0.38785723,0.23069358,0.39005443,-0.40446016,0.12515369,-0.0047993017,0,0.83570635
2025-05-28,1.3445727,0.11446768,-0.27727422,-0.11849213,0.4758166,0.38523355,-0.10605991,-0.041785274,-0.3454652,0.707179,-0.015400305,0,0.6963329
2025-05-29,0.14144187,-0.13927558,-0.18550287,-0.35019466,0.3505718,0.44846544,-0.623894,-0.57101375,-0.15235622,0.5081916,-0.02647885,0,0.1309093
2025-05-30,0.30032048,-0.14477868,0.16241835,-0.271811,0.24706784,0.37480813,-0.43405372,-0.26378664,-0.13541576,0.45271567,-0.042760395,0,0.25957617
2025-05-31,-0.53735405,-0.24457103,-0.07657602,-0.2973425,-0.25597897,-0.07561804,-0.15879646,-0.09104416,-0.12612723,1.1917297,0.0895493,0,0.13296118
2025-06-01,0.28782293,-0.25526464,-0.1339713,-0.10764489,-0.18070243,-0.0029480895,0.27862814,0.45934552,0.14663444,0.36896673,0.06799599,0,0.40998328
2025-06-02,0.45685628,-0.25766772,-0.080958,0.31229013,0.3040964,-0.01444317,-0.100737184,0.025245328,-0.13024758,0.5763248,-0.029025998,0,0.44246504
